datasize_list,bruck_mr,bruck_logmr,bruck_std,bruck_logstd,bisect_mr,bisect_logmr,bisect_std,bisect_logstd,ssdp_mr,ssdp_logmr,ssdp_std,ssdp_logstd,socp_mr,socp_logmr,socp_std,socp_logstd
5000,0,-Inf,0,NaN,56.38093123,1.75108883593536,0.836104921709959,0.00648884166808842,2.37619829,0.362263015938287,0.594869479661877,0.118394044687589,0.07228484,-1.15065903447709,0.0181462531266375,0.0913126809873228
10000,0,-Inf,0,NaN,56.04463365,1.74850799287985,0.647998323111391,0.00500930326452409,2.49101222,0.385337649830355,0.559626638996616,0.106484035264547,0.08055386,-1.10138559471598,0.0160172671283351,0.084276177057541
15000,0,-Inf,0,NaN,56.03377396,1.74842583259776,0.621634912504676,0.00481630462640191,2.5032276,0.373144325767901,0.898131479497844,0.157658138159278,0.07109259,-1.15838085298066,0.0169950564624246,0.0968940014400761
20000,0,-Inf,0,NaN,55.93297088,1.74765449174952,0.462307643585932,0.00359857983614407,2.16704396,0.316334402332321,0.652582628599131,0.141432153415714,0.07580359,-1.13472772421573,0.0211854778479898,0.116566356497692
25000,0,-Inf,0,NaN,55.98633775,1.7480636204496,0.543261047281947,0.00422070644750973,2.08710058,0.301319420244579,0.585328645514814,0.139243401422127,0.06980676,-1.15918141756052,0.00914764829355975,0.0533840867868358
30000,0,-Inf,0,NaN,55.99303595,1.74811911493924,0.489118307415942,0.00379142006944321,2.24763629,0.329839818620393,0.694750757236274,0.151572547137745,0.07219408,-1.15131820499676,0.0159859587413316,0.0984508477738908
35000,0,-Inf,0,NaN,56.14760367,1.74932532942259,0.308383794137374,0.00238555792955461,2.7269033,0.424975521112362,0.64284517385883,0.101348711578487,0.07083158,-1.15977732503903,0.0150916670152623,0.101451387358061
40000,0,-Inf,0,NaN,56.15822817,1.74940659869622,0.331570028082818,0.00256011526626395,2.84526937,0.401364711971159,1.50248439172743,0.225843451093599,0.07473168,-1.1279758202217,0.00653598390872492,0.0377147500925395
45000,0,-Inf,0,NaN,56.26859256,1.75025494003237,0.424264193573031,0.00327495434598437,2.34315426,0.34947902611835,0.691487684611653,0.146679559571963,0.02278471,-1.642371086994,0.000197016510588439,0.00375147541034816
50000,0,-Inf,0,NaN,56.39078164,1.75120496765156,0.226409297163782,0.00174218705135865,2.38150738,0.368848805825,0.470190796436666,0.0895741647498514,0.02285973,-1.64094503822108,0.000208192726151089,0.00394151562686798
